time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha
2022-11-18 17:05:38.928599,24.43,102439.88,19.83,-92.41,-1.57,8.04,-5.29,0.02,-0.07,-0.06,101,19,12,10,37
2022-11-18 17:05:39.339751,24.42,102441.55,19.85,-92.55,-1.56,8.07,-5.28,0.02,-0.07,-0.06,90,19,12,10,37
2022-11-18 17:05:39.819679,24.42,102442.61,19.80,-92.63,-1.58,8.05,-5.29,0.02,-0.07,-0.06,167,19,12,10,37
2022-11-18 17:05:40.299794,24.41,102438.84,19.75,-92.32,-1.54,8.07,-5.25,0.02,-0.06,-0.06,268,19,12,10,37
2022-11-18 17:05:40.780171,24.41,102443.45,19.79,-92.70,-1.57,8.06,-5.30,0.02,-0.07,-0.06,123,19,12,10,37
2022-11-18 17:05:41.260688,24.42,102440.70,19.77,-92.48,-1.59,8.05,-5.27,0.02,-0.07,-0.06,192,19,12,10,37
2022-11-18 17:05:41.740095,24.42,102441.77,19.79,-92.57,-1.57,8.06,-5.28,0.02,-0.06,-0.06,86,19,12,10,37
2022-11-18 17:05:42.220938,24.42,102442.42,19.77,-92.62,-1.57,8.07,-5.30,0.02,-0.06,-0.06,129,19,12,10,37
2022-11-18 17:05:42.699623,24.42,102442.03,19.75,-92.59,-1.60,8.09,-5.30,0.02,-0.07,-0.06,113,19,12,10,37
2022-11-18 17:05:43.179633,24.41,102441.64,19.75,-92.56,-1.52,8.04,-5.29,0.02,-0.07,-0.06,89,19,12,10,37
2022-11-18 17:05:43.659676,24.41,102440.00,19.79,-92.42,-1.57,8.07,-5.29,0.02,-0.06,-0.06,116,19,12,10,37
2022-11-18 17:05:44.139584,24.41,102442.80,19.77,-92.65,-1.59,8.09,-5.30,0.02,-0.06,-0.06,185,19,12,10,38
2022-11-18 17:05:44.620748,24.41,102448.41,19.76,-93.11,-1.52,8.05,-5.31,0.02,-0.07,-0.06,158,20,12,10,38
2022-11-18 17:05:45.101267,24.41,102442.71,19.82,-92.64,-1.57,8.04,-5.30,0.02,-0.06,-0.06,159,20,12,10,38
2022-11-18 17:05:45.580628,24.41,102441.73,19.82,-92.56,-1.60,8.07,-5.33,0.02,-0.07,-0.06,163,20,12,10,38
2022-11-18 17:05:46.060695,24.41,102443.16,19.79,-92.68,-1.62,8.08,-5.35,0.02,-0.06,-0.06,297,20,12,10,38
2022-11-18 17:05:46.539983,24.41,102441.34,19.77,-92.53,-1.59,8.06,-5.34,0.02,-0.06,-0.06,191,16,10,8,30
2022-11-18 17:05:47.020207,24.41,102439.58,19.79,-92.39,-1.58,8.05,-5.27,0.02,-0.06,-0.06,200,16,10,8,30
2022-11-18 17:05:47.500458,24.41,102443.62,19.80,-92.72,-1.53,8.04,-5.30,0.02,-0.06,-0.06,98,16,10,8,31
2022-11-18 17:05:47.981326,24.41,102442.82,19.83,-92.65,-1.59,8.04,-5.30,0.02,-0.06,-0.06,91,17,10,9,32
